"Source data for Figure 2B: Invagination of the membrane for 8 embryos (delta x), mean (mean delta) and adjusted mean in fixed tissues (mean delta fixed) as function of time during n.c. 14. NaN indicates that furrow canal could not be detected at that particular time."											
Time	delta 1	delta 2	delta 3	delta 4	delta 5	delta 6	delta 7	delta 8	 mean delta	mean delta fixed	
(min)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	(um)	
53.875	28.876	29.793	30.909	29.14	29.986	28.646	31.022	30.507	29.86	28.367	0.757969272
54.875	30.362	32.07	32.196	30.777	30.457	30.378	35.511	31.297	31.631	30.049	0.802912492
55.875	32.137	34.215	34.427	NaN	31.593	30.614	35.542	33.353	33.126	31.47	0.840881764
56.875	34.955	35.89	35.455	NaN	32.543	33.712	36.472	34.414	34.777	33.038	0.882778891
57.875	35.987	37.269	NaN	NaN	35.123	35.171	NaN	37.459	36.202	34.392	0.918957916
58.875	35.988	37.651	NaN	NaN	37.39	36.618	NaN	38.795	37.289	35.424	0.946533066
59.875	37.618	36.311	NaN	NaN	NaN	38.421	NaN	38.188	37.634	35.753	0.955323981
60.875	39.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.395	37.425	1
61.875	37.765	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.765	35.877	0.958637275
										37.425	
